step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.223225166998192,0,0.0,0.8600282517544403,0,0.0,0.9082523966567984,0,0.0,0.951501071884375,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,12.515525842378224,0,0.0,0.9454710677703516,0,0.0,0.8347814175678284,0,0.0,0.8947684064131939,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,12.674774760787637,0,0.0,0.9042455423573457,0,0.0,0.8549560925384739,0,0.0,0.8928576543224924,0,0.0,0.9608181824999297,0,0.0
20.0,3,6.0,0.25,10.134155728377221,1,2.0,0.6969440268820982,0,0.0,0.8852601926251428,2,4.0,0.5655946395908533,0,0.0,0.9590358923361021,3,6.0
25.0,7,32.0,1.1428571428571428,7.77240583515106,3,14.0,0.34527667843764664,0,0.0,0.9466469793618961,4,18.0,0.3585963694791203,0,0.0,0.9444076628164377,7,32.0
30.0,13,89.0,2.6176470588235294,5.200855749502944,6,43.0,0.3474708900807014,1,2.0,0.38977653033790133,6,44.0,0.09315469066430854,0,0.0,0.9014684910889681,13,89.0
35.0,17,152.0,4.0,4.860540055630316,4,65.0,0.37799185893842846,4,15.0,0.42870400711461865,9,83.0,0.0011944366128621596,0,0.0,1.0,17,163.0
40.0,21,250.0,5.681818181818182,5.7128326586189155,7,82.0,0.37200812975742426,4,37.0,0.5383722621813918,10,133.0,0.18672226568821665,0,0.0,0.9775916818563996,21,252.0
45.0,23,295.0,6.413043478260869,4.044253843928738,8,98.0,0.28283029070830656,4,57.0,0.40387725613194386,11,186.0,0.047974530872627257,0,0.0,0.8517088909822504,23,341.0
50.0,25,357.0,7.285714285714286,3.6267421239213817,6,85.0,0.25299054823266687,6,83.0,0.11588069883915873,13,249.0,0.18573709824744428,0,0.0,0.7971001342475604,25,417.0
55.0,27,452.0,8.528301886792454,3.7051078026107507,5,101.0,0.25522963590207615,7,118.0,0.12485847247257677,15,320.0,0.1680913441428238,0,0.0,0.8230687554350974,27,539.0
60.0,30,572.0,10.214285714285714,4.063134408654255,6,111.0,0.19041558947688664,7,155.0,0.40481877211320716,17,400.0,0.054702372770786004,0,0.0,0.9099576390390262,30,666.0
