step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,11.007191314978375,0,0.0,0.8748567117206297,0,0.0,0.7477856074000748,0,0.0,0.7238484096492338,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,10.880692683255731,0,0.0,0.8564004531174955,0,0.0,0.723539679361053,0,0.0,0.7172802374600651,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,9.311627365853717,0,0.0,0.624617767771858,0,0.0,0.7386343506326322,0,0.0,0.6169960518927936,0,0.0,0.9154204466534275,0,0.0
20.0,4,11.0,0.2558139534883721,8.04647622132819,2,6.0,0.5380676738566871,0,0.0,0.7522505846968307,2,5.0,0.36381765681054323,0,0.0,0.8504846518557079,4,11.0
25.0,11,54.0,1.0588235294117647,7.1656819969164065,5,27.0,0.46412526889974653,0,0.0,0.7064952314561262,6,27.0,0.18098481373215072,0,0.0,0.8239793282399447,11,54.0
30.0,18,131.0,2.1475409836065573,5.684575717986824,8,62.0,0.3000378264163351,1,4.0,0.5608602952523132,9,65.0,0.12515837912997785,0,0.0,0.7579372548301995,18,131.0
35.0,26,244.0,3.588235294117647,4.777478768195113,11,110.0,0.21531891778781886,4,19.0,0.42014591361165765,11,115.0,0.08660225037642348,0,0.0,0.7304133810973326,26,244.0
40.0,34,398.0,5.4520547945205475,4.270668028161086,13,171.0,0.20375302086100863,7,49.0,0.3488749601569042,14,178.0,0.04081275501866232,0,0.0,0.7552578522667922,34,398.0
45.0,43,598.0,7.666666666666667,3.5130856963518817,17,249.0,0.15688766309549798,10,94.0,0.26311232116381983,16,256.0,0.008846492673308766,0,0.0,0.7685096589309349,43,599.0
