step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.608852255331682,0,0.0,0.8982524035265639,0,0.0
10.0,0,0.0,0.0,12.883051983758188,0,0.0,0.9080029916964688,0,0.0
15.0,2,4.0,0.0975609756097561,9.90597991924179,2,4.0,0.7004342228689296,2,4.0
20.0,13,48.0,0.8888888888888888,8.22217477542093,13,48.0,0.5172073228506424,13,48.0
25.0,22,140.0,2.08955223880597,7.01574507990119,22,140.0,0.4120090514970286,22,140.0
30.0,33,281.0,3.7972972972972974,6.019678680023548,33,281.0,0.3595682339021865,33,281.0
35.0,42,474.0,5.851851851851852,4.912615949911428,42,474.0,0.27477004095938967,42,474.0
40.0,55,724.0,8.227272727272727,3.9235315673132702,55,724.0,0.20210295125562489,55,724.0
45.0,63,1023.0,10.23,3.7275086080891553,63,1023.0,0.17882257654855463,63,1023.0
50.0,75,1375.0,13.221153846153847,3.2849251677624216,75,1375.0,0.158095414317511,75,1375.0
55.0,80,1765.0,16.34259259259259,3.1216979916805965,80,1765.0,0.13947467947780576,80,1765.0
60.0,85,2180.0,19.12280701754386,3.0251881108963548,85,2180.0,0.13044810042124502,85,2180.0
65.0,90,2621.0,22.594827586206897,2.541118744733481,90,2621.0,0.09976193909895795,90,2621.0
70.0,94,3087.0,25.725,2.365508868712961,94,3087.0,0.10156951779874084,94,3087.0
75.0,100,3576.0,28.608,2.2986648482949654,100,3576.0,0.10060189377222918,100,3576.0
80.0,106,4091.0,31.229007633587788,2.197091732930323,106,4091.0,0.09219321709336867,106,4091.0
85.0,109,4632.0,34.31111111111111,2.112144632406402,109,4632.0,0.07828646776889837,109,4632.0
90.0,114,5195.0,38.76865671641791,1.9091470760047329,114,5195.0,0.06409324185644058,114,5195.0
95.0,114,5765.0,43.02238805970149,1.8168459324908144,114,5765.0,0.07551966467558766,114,5765.0
100.0,114,6335.0,47.63157894736842,1.760178921248343,114,6335.0,0.06673439441213917,114,6335.0
105.0,114,6905.0,51.148148148148145,1.9305150376232951,114,6905.0,0.08139168472824121,114,6905.0
110.0,114,7475.0,54.56204379562044,2.1272580496398414,114,7475.0,0.07147798282902727,114,7475.0
115.0,114,8045.0,59.154411764705884,1.987609684317682,114,8045.0,0.07198274555574166,114,8045.0
120.0,114,8615.0,63.81481481481482,1.9178256173339516,114,8615.0,0.07438597495458654,114,8615.0
125.0,114,9185.0,68.54477611940298,1.8557212703875947,114,9185.0,0.06811548831892969,114,9185.0
130.0,114,9755.0,72.25925925925925,2.0372091971986452,114,9755.0,0.0807946631034262,114,9755.0
135.0,114,10325.0,76.48148148148148,2.026078977727224,114,10325.0,0.07383456282547216,114,10325.0
140.0,114,10895.0,81.9172932330827,1.8870645597189715,114,10895.0,0.06651062303847513,114,10895.0
145.0,114,11465.0,85.55970149253731,1.9179343382043108,114,11465.0,0.06526145337409112,114,11465.0
150.0,114,12035.0,90.48872180451127,1.8455643978733955,114,12035.0,0.08107506688130421,114,12035.0
155.0,114,12605.0,93.37037037037037,1.9729004115058473,114,12605.0,0.08111303473813335,114,12605.0
160.0,114,13175.0,97.5925925925926,1.9842075098268845,114,13175.0,0.07402118235440433,114,13175.0
165.0,114,13745.0,101.81481481481481,2.0641603661008854,114,13745.0,0.06749348941723618,114,13745.0
170.0,114,14315.0,106.03703703703704,2.0677655049501498,114,14315.0,0.07433943403619878,114,14315.0
175.0,114,14885.0,111.08208955223881,1.9639071238363983,114,14885.0,0.07354942341865599,114,14885.0
180.0,114,15455.0,116.203007518797,1.762149766489465,114,15455.0,0.06930551347888005,114,15455.0
185.0,114,16025.0,119.58955223880596,1.8254315283317837,114,16025.0,0.07611066159249875,114,16025.0
190.0,114,16595.0,123.84328358208955,1.8284246248279694,114,16595.0,0.07608082198799912,114,16595.0
195.0,114,17165.0,126.21323529411765,1.9674809885885254,114,17165.0,0.06964574802433367,114,17165.0
200.0,114,17735.0,130.40441176470588,1.964145540227086,114,17735.0,0.06602434299123322,114,17735.0
205.0,114,18305.0,134.59558823529412,1.9583328819172408,114,18305.0,0.07794921810610561,114,18305.0
